Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
acer,530 g,MediaTek MT8167B,"ARM Cortex-A53, 1300 MHz, Cores: 4",PowerVR GE8300,2 GB,16 GB,"microSD, microSDHC, microSDXC","10.1 in, IPS, 1280 x 720 pixels, 24 bit","6100 mAh, Li-Polymer",Android 7.0 Nougat,"2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n, ac","2.0, Micro USB",4.0,,https://www.devicespecifications.com/en/price/d6294416,https://www.devicespecifications.com/images/model/d6294416/320/main.jpg,Iconia One 10 B3-A40;
acer,165 g,MediaTek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2000 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/bdfe40e1/320/main.jpg,Liquid Z6E;
acer,520 g,MediaTek MT8163,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, Cores: 2","1 GB, 800 MHz",16 GB,"microSD, microSDHC, microSDXC","10.1 in, IPS, 1280 x 800 pixels, 24 bit","6100 mAh, Li-Polymer",Android 6.0 Marshmallow,"2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n","2.0, Micro USB",4.0,,https://www.devicespecifications.com/en/price/8f384388,https://www.devicespecifications.com/images/model/8f384388/320/main.jpg,Iconia One 10 B3-A30;
acer,168 g,MediaTek MT6753,"ARM Cortex-A53, 1300 MHz, Cores: 8","ARM Mali-T720 MP3, 450 MHz, Cores: 3","3 GB, 666 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 1080 x 1920 pixels, 24 bit","4080 mAh, Li-Polymer",Android 6.0 Marshmallow,"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"GPS, A-GPS",https://www.devicespecifications.com/en/price/2ae53e24,https://www.devicespecifications.com/images/model/2ae53e24/320/main.jpg,Liquid Z6 Plus;
acer,126 g,MediaTek MT6737,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","1 GB, 640 MHz",8 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2000 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"GPS, A-GPS",https://www.devicespecifications.com/en/price/a4af3e23,https://www.devicespecifications.com/images/model/a4af3e23/320/main.jpg,Liquid Z6;
acer,260 g,MediaTek MT8735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, Cores: 2","2 GB, 640 MHz",16 GB,"microSD, microSDHC","7 in, IPS, 1280 x 720 pixels, 24 bit","3400 mAh, Li-Polymer",Android 6.0 Marshmallow,"4160 x 3120 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/44143e1f,https://www.devicespecifications.com/images/model/44143e1f/320/main.jpg,Iconia Talk S A1-734;
acer,529 g,MediaTek MT8163A,"ARM Cortex-A53, 1500 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","2 GB, 800 MHz",32 GB,"microSD, microSDHC, microSDXC","10.1 in, IPS, 1920 x 1200 pixels, 24 bit","6100 mAh, Li-Polymer",Android 6.0 Marshmallow,"2560 x 1920 pixels, 1920 x 1080 pixels, 30 fps",,"a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Direct","2.0, Micro USB",4.0,GPS,https://www.devicespecifications.com/en/price/a24d3b76,https://www.devicespecifications.com/images/model/a24d3b76/320/main.jpg,Iconia Tab 10 A3-A40;
acer,150 g,Qualcomm Snapdragon 808 MSM8992,"2x 1.8 GHz ARM Cortex-A57, 4x 1.44 GHz ARM Cortex-A53, Cores: 6","Qualcomm Adreno 418, 600 MHz","3 GB, 933 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit","3000 mAh, Li-Polymer",Android 6.0 Marshmallow,"5288 x 3968 pixels, 3840 x 2160 pixels, 30 fps",Nano-SIM,"a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/1b763a5d/320/main.jpg,Liquid Jade 2;
acer,360 g,MediaTek MT8163B,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 520 MHz, Cores: 2","1 GB, 800 MHz",16 GB,"microSD, microSDHC","8 in, IPS, 1280 x 800 pixels, 24 bit","4600 mAh, Li-Polymer",Android 5.1 Lollipop,2560 x 1920 pixels,,"b, g, n","2.0, Micro USB",4.0,GPS,https://www.devicespecifications.com/en/price/8649392f,https://www.devicespecifications.com/images/model/8649392f/320/main.jpg,Iconia One 8 B1-850;
acer,150 g,Qualcomm Snapdragon 808 MSM8992,"2x 1.8 GHz ARM Cortex-A57, 4x 1.44 GHz ARM Cortex-A53, Cores: 6","Qualcomm Adreno 418, 600 MHz","3 GB, 933 MHz",32 GB,"microSD, microSDHC, microSDXC","5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit","2800 mAh, Li-Polymer",Microsoft Windows 10 Continuum,"5344 x 4016 pixels, 3840 x 2160 pixels, 30 fps","Nano-SIM, Nano-SIM / microSD","a, b, g, n, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"GPS, A-GPS",https://www.devicespecifications.com/en/price/5e86378b,https://www.devicespecifications.com/images/model/5e86378b/320/main.jpg,Liquid Jade Primo;
